district_slug,district_label,homicide_occ,homicide_clear,robbery_occ,robbery_clear,sexual_occ,sexual_clear,theft_occ,theft_clear,assault_occ,assault_clear
jongnogu,Jongno-gu,5,6,5,7,239,1138,1169,953,1563,1381
junggu,Jung-gu,3,3,6,5,212,144,1520,864,1607,1449
yongsangu,Yongsan-gu,3,4,3,3,245,219,978,561,1792,1481
seongdonggu,Seongdong-gu,2,1,2,2,119,85,893,472,1007,851
gwangjingu,Gwangjin-gu,2,2,5,3,238,178,1616,830,1563,1320
dongdaemungu,Dongdaemun-gu,5,6,4,3,146,116,1280,847,1522,1329
jungnanggu,Jungnang-gu,6,6,2,2,169,134,1402,786,1745,1546
seongbukgu,Seongbuk-gu,1,1,1,1,141,112,984,683,1284,1161
gangbukgu,Gangbuk-gu,7,7,1,1,141,102,917,730,1431,1302
dobonggu,Dobong-gu,7,6,4,3,90,72,995,582,825,743
nowongu,Nowon-gu,7,6,3,4,159,131,1632,845,1766,1621
eunpyeonggu,Eunpyeong-gu,7,7,3,1,153,126,1614,1070,1716,1474
seodaemungu,Seodaemun-gu,5,5,-,2,160,132,1194,668,1026,834
mapogu,Mapo-gu,3,1,4,4,447,339,1472,856,1908,1688
yangcheongu,Yangcheon-gu,6,5,2,2,113,93,1404,732,1494,1303
gangseogu,Gangseo-gu,1,2,6,4,300,225,1794,1243,2195,2070
gurogu,Guro-gu,12,12,7,7,194,144,1624,849,1900,1620
geumcheongu,Geumcheon-gu,4,3,5,4,128,95,987,629,1116,1022
yeongdeungpogu,Yeongdeungpo-gu,12,12,10,10,310,217,1854,1192,2232,1956
dongjakgu,Dongjak-gu,3,2,3,4,191,107,1183,601,1262,1049
gwanakgu,Gwanak-gu,16,17,10,10,328,268,2013,1166,2402,2035
seochogu,Seocho-gu,7,8,9,5,412,300,1941,934,2153,1802
gangnamgu,Gangnam-gu,14,11,20,18,678,567,2480,1284,3571,3112
songpagu,Songpa-gu,8,5,9,8,307,229,2416,1243,2483,2035
gangdonggu,Gangdong-gu,4,6,5,4,144,122,1676,980,1569,1383